sk_ocupacao;cd_ocupacao;ds_ocupacao;dt_carga
393;223248;cirurgião dentista - periodontista;2025-09-30 00:47:30
394;223252;cirurgião dentista - protesiólogo bucomaxilofacial;2025-09-30 00:47:30
395;223256;cirurgião dentista - protesista;2025-09-30 00:47:30
396;223260;cirurgião dentista - radiologista;2025-09-30 00:47:30
397;223264;cirurgião dentista - reabilitador oral;2025-09-30 00:47:30
398;223268;cirurgião dentista - traumatologista bucomaxilofacial;2025-09-30 00:47:30
399;223272;cirurgião dentista de saúde coletiva;2025-09-30 00:47:30
400;223276;cirurgião dentista - odontologia do trabalho;2025-09-30 00:47:30
401;223280;cirurgião dentista - dentística;2025-09-30 00:47:30
402;223284;cirurgião dentista - disfunção temporomandibular e dor orofacial;2025-09-30 00:47:30
403;223288;cirurgião dentista - odontologia para pacientes com necessidades especiais;2025-09-30 00:47:30
404;223293;cirurgião-dentista da estratégia de saúde da família;2025-09-30 00:47:30
405;223305;médico veterinário;2025-09-30 00:47:30
406;223310;zootecnista;2025-09-30 00:47:30
407;223405;farmacêutico;2025-09-30 00:47:30
408;223415;farmacêutico analista clínico;2025-09-30 00:47:30
409;223420;farmacêutico de alimentos;2025-09-30 00:47:30
410;223425;farmacêutico práticas integrativas e complementares;2025-09-30 00:47:30
411;223430;farmacêutico em saúde pública;2025-09-30 00:47:30
412;223435;farmacêutico industrial;2025-09-30 00:47:30
413;223440;farmacêutico toxicologista;2025-09-30 00:47:30
414;223445;farmacêutico hospitalar e clínico;2025-09-30 00:47:30
415;223505;enfermeiro;2025-09-30 00:47:30
416;223510;enfermeiro auditor;2025-09-30 00:47:30
417;223515;enfermeiro de bordo;2025-09-30 00:47:30
418;223520;enfermeiro de centro cirúrgico;2025-09-30 00:47:30
419;223525;enfermeiro de terapia intensiva;2025-09-30 00:47:30
420;223530;enfermeiro do trabalho;2025-09-30 00:47:30
421;223535;enfermeiro nefrologista;2025-09-30 00:47:30
422;223540;enfermeiro neonatologista;2025-09-30 00:47:30
423;223545;enfermeiro obstétrico;2025-09-30 00:47:30
424;223550;enfermeiro psiquiátrico;2025-09-30 00:47:30
425;223555;enfermeiro puericultor e pediátrico;2025-09-30 00:47:30
426;223560;enfermeiro sanitarista;2025-09-30 00:47:30
427;223565;enfermeiro da estratégia de saúde da família;2025-09-30 00:47:30
428;223570;perfusionista;2025-09-30 00:47:30
429;223575;obstetriz;2025-09-30 00:47:30
430;223580;enfermeiro estomaterapeuta;2025-09-30 00:47:30
431;223585;enfermeiro forense;2025-09-30 00:47:30
432;223605;fisioterapeuta geral;2025-09-30 00:47:30
433;223625;fisioterapeuta respiratória;2025-09-30 00:47:30
434;223630;fisioterapeuta neurofuncional;2025-09-30 00:47:30
435;223635;fisioterapeuta traumato-ortopédica funcional;2025-09-30 00:47:30
436;223640;fisioterapeuta osteopata;2025-09-30 00:47:30
437;223645;fisioterapeuta quiropraxista;2025-09-30 00:47:30
438;223650;fisioterapeuta acupunturista;2025-09-30 00:47:30
439;223655;fisioterapeuta esportivo;2025-09-30 00:47:30
440;223660;fisioterapeuta  do trabalho;2025-09-30 00:47:30
441;223705;dietista;2025-09-30 00:47:30
442;223710;nutricionista;2025-09-30 00:47:30
443;223810;fonoaudiólogo geral;2025-09-30 00:47:30
444;223815;fonoaudiólogo educacional;2025-09-30 00:47:30
445;223820;fonoaudiólogo em audiologia;2025-09-30 00:47:30
446;223825;fonoaudiólogo em disfagia;2025-09-30 00:47:30
447;223830;fonoaudiólogo em linguagem;2025-09-30 00:47:30
448;223835;fonoaudiólogo em motricidade orofacial;2025-09-30 00:47:30
449;223840;fonoaudiólogo em saúde coletiva;2025-09-30 00:47:30
450;223845;fonoaudiólogo em voz;2025-09-30 00:47:30
451;223905;terapeuta ocupacional;2025-09-30 00:47:30
452;223910;ortoptista;2025-09-30 00:47:30
